Scrape version,scrape_phase,creator_username,niche,post_id,post_url,post_type,posted_at,scraped_at,caption,hashtags,hashtag_count,views,likes,comments_count,shares,scrape_mode,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTTTO3VE1pg,https://www.instagram.com/Khushiiimalhotra/reel/DTTTO3VE1pg/,reel,Jan-10,2026-02-03T23:00:00+05:30,"Just me, my lehenga, forgetting everything else. . . . . #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp #lehanga #khushimalhotra #ethnic",#fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp #lehanga #khushimalhotra #ethnic,4,null,4.9K,68,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTmipCJjGml,https://www.instagram.com/Khushiiimalhotra/reel/DTmipCJjGml/,reel,Jan-17,2026-02-03T23:00:00+05:30,"From festive flair to bridal grandeur — one reel, all the statement looks. ✨ Which KZARI outfit is your favorite? 🤝",,0,null,18.4K,1.8K,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTQvO-Kk5FZ,https://www.instagram.com/Khushiiimalhotra/reel/DTQvO-Kk5FZ/,reel,Jan-09,2026-02-03T23:00:00+05:30,"Ahh I'm so cringe, and I love it ✌🏻",,0,null,6.6K,48,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTh93KED6X2,https://www.instagram.com/Khushiiimalhotra/reel/DTh93KED6X2/,reel,Jan-15,2026-02-03T23:00:00+05:30,"Dekh Dekh Sheesha Sharmaati Phirun Su🔥✨ . . . . . . Transition reel, desi transition, desi baddie, makeup glow, makeup switch, before after, explore, for you #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #makeup #fyp",#fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #makeup #fyp,3,null,10.7K,89,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTfnRbND9q0,https://www.instagram.com/Khushiiimalhotra/reel/DTfnRbND9q0/,reel,Jan-14,2026-02-03T23:00:00+05:30,Desi fit >>>> ✨ (Comment link for outfit) . . . . . #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp #ethnic #myntra #grwm,#fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp #ethnic #myntra #grwm,4,null,3.4K,281,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTVzingk19q,https://www.instagram.com/Khushiiimalhotra/reel/DTVzingk19q/,reel,Jan-11,2026-02-03T23:00:00+05:30,<3 . . . . . #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #ethnic #khushmalhotra #grwm,#fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #ethnic #khushmalhotra #grwm,4,null,3.9K,175,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTZ2L1djwQ0,https://www.instagram.com/Khushiiimalhotra/reel/DTZ2L1djwQ0/,reel,Jan-12,2026-02-03T23:00:00+05:30,"GRWM 🪩✨ . . . Makeup Brushes from @beiliofficial Outfit from @kadhaeeghar . . . . . #grwm #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #explore #ethnic (Desi woman, desi girl, desi aesthetic, relatable, fashion, Eid Ka joda, Eid outfit, farshi shalwar, brown girl fashion,Wedding, shaadi, wedding outfit, grwm, desi fit,desi outfit, traditional, brown weddings, asian wedding, new song, viral, trending, explore fashion",#grwm #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #explore #ethnic,4,null,13.1K,178,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTXWA2yD9uf,https://www.instagram.com/Khushiiimalhotra/reel/DTXWA2yD9uf/,reel,Jan-11,2026-02-03T23:00:00+05:30,Starting the year with healthy skin and smart shopping ✨ The Flipkart New Year Glow Fest brings 60-70% off on 11th & 12th January Your sign to restock all your skincare essentials 💝 Comment 'GLOW' for the link 🔗 #Flipkart #Flipkartlifestyle #GlowRoutine #NewYearGlow #SkincareLove Salealert,#Flipkart #Flipkartlifestyle #GlowRoutine #NewYearGlow #SkincareLove,5,null,1.8K,59,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,khushiiimalhotra,Beauty,DTNBs5kj9AC,https://www.instagram.com/Khushiiimalhotra/reel/DTNBs5kj9AC/,reel,Jan-07,2026-02-03T23:00:00+05:30,<3 . . . . . #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #beach #khushimalhotra #thailand,#fyppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #beach #khushimalhotra #thailand,4,null,12.8K,106,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,C1t7CJEqQ3I,https://www.instagram.com/the.sleepyhead_/reel/C1t7CJEqQ3I/,reel,05-Jan-24,2026-02-04T00:00:00+05:30,This song and @dhanushkraja uff😭😍. . . . . . . #reel #explore #foryoupage #fyp> #instagram #reelitfeelit #trending #kolaveri #mallu #makeuptransformation #transition #fyp #explorepage #saree #transformation,#reel #explore #foryoupage #fyp #instagram #reelitfeelit #trending #kolaveri #mallu #makeuptransformation #transition #fyp #explorepage #saree #transformation,14,null,849.8K,2K,null,visible_ui_only,,,,,,,,,,,,,,,,
